date,ISEQ All Share Return,ISEQ All Share Volume,FTSE 100 Return,FTSE 100 Volume,Euro Stoxx 50 Return,Euro Stoxx 50 Volume,FTSE 250 Return,FTSE 250 Volume,UK Negativ,Irish Negativ
2016-01-06,-0.5832146132328447,-0.01157747629402312,-1.3194409677220302,-0.39281905667160183,-1.1501505014505533,0.5037409253083402,-1.0573489781236058,-0.4030540836140143,-1.0785078704751128,-1.0648114608907424
2016-01-07,-1.516371752654793,0.6179584464260987,-2.484016239671762,1.1489788422952218,-1.703233956182788,1.8915330709541012,-1.931758799441408,-0.30060989227507245,-1.2667775656141118,-0.8934037470835725
2016-01-08,0.05375161575164947,0.6336537417098875,-0.8949837866322442,0.08581522363122737,-2.036661453428809,0.8780346197620615,-0.45654613110072056,-0.8642650444142813,-1.2048633705684006,-1.211732358439745
2016-01-11,-0.1336460082109489,-0.13655533172509704,-0.8779123195350087,0.11779219571612792,-0.11458877976099544,1.0876846647528826,-0.5652451664268985,-0.5976556272029979,-0.5730858701019613,-1.2280569026118564
2016-01-12,0.9591157667258435,0.4272327619399682,1.1835438363428505,0.07177422890850407,1.4272919475922485,0.5948931187826103,0.18728259802494793,-0.1993322496987894,-1.1694838305422801,-0.9260528354277954
2016-01-14,-1.986222888156633,0.8580234928167547,-0.9170164849198895,1.204511496363746,-1.5572519995834582,1.3132863436017008,-2.0893563189275253,0.24692567696194265,-1.1353678455170924,-1.048486916718631
2016-01-19,1.153555717022446,-0.005111139625985969,2.03918232565446,0.08030559838956008,0.9193564732113161,1.2232735525458591,1.1464543735563455,-0.5082555720283314,-1.2718317856178432,-0.909728291255684
2016-01-20,-2.7081014494576277,1.356330277840881,-4.388093016058322,1.0651657948398312,-2.5840010205030404,2.407112665292941,-3.6314881385185727,-0.2845963592603932,-1.1821193805516088,-1.0648114608907424
2016-01-21,1.2932618336579453,0.20007465587988535,2.1484099944042354,1.301350458727534,2.3385480047009755,3.0599902510524,1.4513656765213059,-0.13199057112712476,0.5716949607432268,-1.1137850934070768
2016-01-25,-0.35982796774242953,0.10215137958947054,-0.5076780247221132,0.058895811667083395,-1.063632560659969,0.7583973658270821,0.11502567173797028,-1.1841115051578097,-1.1871736005553404,-1.048486916718631
2016-01-26,0.6735736484239444,0.5771495758451547,0.7028793843945272,0.26999934572331563,2.177755637304273,2.0100309224706523,0.21236823387790782,-0.7314905852462118,0.35183639058090593,-1.2035700863536896
2016-01-27,-0.43876447502630866,0.3382664096357231,1.621472663662117,0.3688967489793351,0.699757317641573,0.6171114659419635,0.7032959233026573,-0.8289504318719753,-1.107569635496569,-0.63221104032979
2016-01-28,-1.6059864949836784,0.7719612939904797,-1.2425853506354108,0.44465050650726756,-2.211952433887563,1.85735099840125,-0.6554640770051146,-0.14970090234203498,-1.1214687405068307,-0.8444301145672383
2016-01-29,1.7127309453491928,1.0199024781362636,3.115362068154749,0.8611099516676334,2.1141908197920736,1.2796739722580637,2.1259216404247936,-0.1487464533544051,-1.2137082555749308,-0.6648601286740128
2016-02-01,1.378450859757984,0.0577031268019565,-0.50733413112656,0.08006760067912874,-1.0595828623374643,0.743015433178299,-0.015889235083740124,-0.7851518283285147,-1.1341042905161596,-1.2035700863536896
2016-02-02,-1.0649402695672892,0.37961383526036657,-2.8826436444449826,0.8559296943725776,-2.443289637827468,1.183394467900866,-1.4245548832987012,-0.39340354385020093,-1.1947549305609377,-1.0321623725465194
2016-02-03,-1.6530657248087874,0.8326967011883056,-1.8143805820626582,0.896129987713698,-1.933289354129811,2.4583857741222177,-2.3268543023161046,-0.34716579289390836,-1.1467398405254883,-0.9342151075138511
2016-02-04,-1.011946539028768,1.2185428998857732,1.2811242897358481,1.0069246659131077,-0.06762514535168322,2.0225643490733645,0.6833511960522507,-0.38248040543621437,-1.1025154154928376,-0.8444301145672383
2016-02-05,-1.0031899598128697,1.3451162016579092,-1.0939276637727717,0.7131985080500043,-1.1455287105448317,2.44642204872872,-0.6632217931772902,-0.33634870436743625,-0.5111716750562503,-1.0974605492349652
2016-02-09,-0.37800642083834013,3.1180081582957393,-1.2765878867531482,1.5518306487101763,-2.2064677391224095,3.3556651786345633,-1.4472489864357245,-0.0701634867062106,-1.108833190497502,-1.0321623725465194
2016-02-11,-2.197564219082471,1.547634954950784,-3.017816667385934,1.2098688378784463,-4.292982285518377,3.0372022026838326,-2.65534799054288,-0.3020945907002745,-1.0406012204471264,0.09423117532916803
2016-02-15,2.291918564849203,1.0554379206613238,2.487495895274687,-0.2853585219000447,1.9449803044559255,1.8191810173838994,2.274888913452118,-0.6248043984066927,-0.6046747451252834,-0.6158864961576785
2016-02-16,-0.43103519189334116,0.5202630910415499,0.7814025756279398,-0.08329933593656597,-0.9335412038811978,1.1885217787837938,-0.22564001788467736,-0.8089070031317476,-1.192227820559072,-1.2035700863536896
2016-02-17,2.6218454292957882,0.8245981567427765,3.483765370875548,0.6896802443535783,2.972430300039438,1.0181811172287516,3.417440914240644,-0.5602200169104032,-1.0443918854499252,-0.9342151075138511
2016-02-19,-0.04295719596172146,1.9310916602803014,-0.4768023959886393,-0.42352119641360697,-0.9660623999314302,1.3451896113176953,-0.16687140366958209,-1.1749912148315687,-1.0406012204471264,-0.45264105443656444
2016-02-22,0.5162179807816853,2.63381408871709,1.7876601074095608,0.13864810476880737,2.2217610420349168,0.3539095072850089,0.9466528848817667,-0.8580081010509298,3.975712133256402,-0.6811846728461243
